field_name,role,family,codebook_group,present_in_current_historical_panel,historical_panel_requirement,forecast_scaffold_requirement,standardized_model_input_requirement,fixed_slow_area_asset_requirement,data_type,format_or_allowed_values,description,statistic_or_measure,notes
phase3_percent,outcome,09_food_security_ipc,09 Food security / IPC,yes,required,not required for forecast scaffold,required for training rows; optional/blank for forecast rows,not expected,numeric,Population percent by phase where observed.,Percent of population in IPC Phase 3: Crisis,,Observed outcomes are sparse by design in the raw panel.
phase4_percent,outcome,09_food_security_ipc,09 Food security / IPC,yes,required,not required for forecast scaffold,required for training rows; optional/blank for forecast rows,not expected,numeric,Population percent by phase where observed.,Percent of population in IPC Phase 4: Emergency,,Observed outcomes are sparse by design in the raw panel.
phase5_percent,outcome,09_food_security_ipc,09 Food security / IPC,yes,required,not required for forecast scaffold,required for training rows; optional/blank for forecast rows,not expected,numeric,Population percent by phase where observed.,Percent of population in IPC Phase 5: Catastrophe/Famine,,Observed outcomes are sparse by design in the raw panel.
popdensity,fixed_slow_feature,population_context,"10 Demographic, socioeconomic, and macro",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Population density,,
range,fixed_slow_feature,asap_land_cover,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,range mask; source from ASAP,,
ruggedness,fixed_slow_feature,terrain,03 Terrain and physical geography,yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Terrain ruggedness index,,
sg_cec_5-15cm,fixed_slow_feature,isric_soilgrids,07 SoilGrids soil attributes,yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,"Cation exchange capacity, 5-15 cm soil depth",,
sg_cfvo_5-15cm,fixed_slow_feature,isric_soilgrids,07 SoilGrids soil attributes,yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,"Coarse fragments volumetric percentage, 5-15 cm soil depth",,
sg_nitrogen_5-15cm,fixed_slow_feature,isric_soilgrids,07 SoilGrids soil attributes,yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,"Total nitrogen content, 5-15 cm soil depth",,
sg_phh2o_5-15cm,fixed_slow_feature,isric_soilgrids,07 SoilGrids soil attributes,yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,"Soil pH in water, 5-15 cm soil depth",,
sg_soc_5-15cm,fixed_slow_feature,isric_soilgrids,07 SoilGrids soil attributes,yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,"Soil organic carbon, 5-15 cm soil depth",,
slope,fixed_slow_feature,terrain,03 Terrain and physical geography,yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Terrain slope,,
state,identifier,02_geography_and_spatial_linkage,02 Geography and spatial linkage,yes,recommended,not expected,recommended for audit and joins,recommended,string,,State/province/admin-1 name,,
sum_fatalities_battles,monthly_dynamic_feature,08_conflict_events_and_fatalities,08 Conflict events and fatalities,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,Reported fatalities for battles,,
sum_fatalities_battles_w10,monthly_dynamic_feature,08_conflict_events_and_fatalities,08 Conflict events and fatalities,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,Reported fatalities for battles; reverse weighted by distance of 10 nearest stations.,Distance-weighted 10-nearest-station aggregate,
sum_fatalities_battles_w5,monthly_dynamic_feature,08_conflict_events_and_fatalities,08 Conflict events and fatalities,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,Reported fatalities for battles; reverse weighted by distance of 5 nearest stations.,Distance-weighted 5-nearest-station aggregate,
sum_fatalities_explosions,monthly_dynamic_feature,08_conflict_events_and_fatalities,08 Conflict events and fatalities,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,Reported fatalities for explosions/remote violence,,
sum_fatalities_explosions_w10,monthly_dynamic_feature,08_conflict_events_and_fatalities,08 Conflict events and fatalities,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,Reported fatalities for explosions/remote violence; reverse weighted by distance of 10 nearest stations.,Distance-weighted 10-nearest-station aggregate,
sum_fatalities_explosions_w5,monthly_dynamic_feature,08_conflict_events_and_fatalities,08 Conflict events and fatalities,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,Reported fatalities for explosions/remote violence; reverse weighted by distance of 5 nearest stations.,Distance-weighted 5-nearest-station aggregate,
sum_fatalities_violence,monthly_dynamic_feature,08_conflict_events_and_fatalities,08 Conflict events and fatalities,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,Reported fatalities for violence against civilians or political violence,,
sum_fatalities_violence_w10,monthly_dynamic_feature,08_conflict_events_and_fatalities,08 Conflict events and fatalities,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,Reported fatalities for violence against civilians or political violence; reverse weighted by distance of 10 nearest stations.,Distance-weighted 10-nearest-station aggregate,
sum_fatalities_violence_w5,monthly_dynamic_feature,08_conflict_events_and_fatalities,08 Conflict events and fatalities,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,Reported fatalities for violence against civilians or political violence; reverse weighted by distance of 5 nearest stations.,Distance-weighted 5-nearest-station aggregate,
year,canonical_key,01_identifiers_location_and_time,"01 Identifiers, location, and time",yes,required,required,required,not expected,integer,Four-digit integer year.,Year,Time index,
AEZ_10000,fixed_slow_feature,aez,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Indicator or share for FAO/IIASA agro-ecological zone code 10000,AEZ code indicator/share,
AEZ_12000,fixed_slow_feature,aez,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Indicator or share for FAO/IIASA agro-ecological zone code 12000,AEZ code indicator/share,
AEZ_17000,fixed_slow_feature,aez,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Indicator or share for FAO/IIASA agro-ecological zone code 17000,AEZ code indicator/share,
AEZ_19000,fixed_slow_feature,aez,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Indicator or share for FAO/IIASA agro-ecological zone code 19000,AEZ code indicator/share,
AEZ_20000,fixed_slow_feature,aez,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Indicator or share for FAO/IIASA agro-ecological zone code 20000,AEZ code indicator/share,
AEZ_25000,fixed_slow_feature,aez,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Indicator or share for FAO/IIASA agro-ecological zone code 25000,AEZ code indicator/share,
AEZ_28000,fixed_slow_feature,aez,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Indicator or share for FAO/IIASA agro-ecological zone code 28000,AEZ code indicator/share,
AEZ_30000,fixed_slow_feature,aez,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Indicator or share for FAO/IIASA agro-ecological zone code 30000,AEZ code indicator/share,
AEZ_31000,fixed_slow_feature,aez,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Indicator or share for FAO/IIASA agro-ecological zone code 31000,AEZ code indicator/share,
AEZ_33000,fixed_slow_feature,aez,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Indicator or share for FAO/IIASA agro-ecological zone code 33000,AEZ code indicator/share,
AEZ_35000,fixed_slow_feature,aez,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Indicator or share for FAO/IIASA agro-ecological zone code 35000,AEZ code indicator/share,
AEZ_4000,fixed_slow_feature,aez,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Indicator or share for FAO/IIASA agro-ecological zone code 4000,AEZ code indicator/share,
AEZ_40000,fixed_slow_feature,aez,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Indicator or share for FAO/IIASA agro-ecological zone code 40000,AEZ code indicator/share,
AEZ_43000,fixed_slow_feature,aez,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Indicator or share for FAO/IIASA agro-ecological zone code 43000,AEZ code indicator/share,
AEZ_9000,fixed_slow_feature,aez,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Indicator or share for FAO/IIASA agro-ecological zone code 9000,AEZ code indicator/share,
bbg_GCFPAMBS,deferred_source_feature,12_bloomberg_commodities_and_fertilizer_energy,12 Bloomberg commodities and fertilizer/energy,no,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Ammonia, Black Sea",Bloomberg ticker/price series,In codebook but not in current raw handover panel.
bbg_GCFPAMME,deferred_source_feature,12_bloomberg_commodities_and_fertilizer_energy,12 Bloomberg commodities and fertilizer/energy,no,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Ammonia, Middle East",Bloomberg ticker/price series,In codebook but not in current raw handover panel.
bbg_GCFPDAIN,deferred_source_feature,12_bloomberg_commodities_and_fertilizer_energy,12 Bloomberg commodities and fertilizer/energy,no,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"DAP, India",Bloomberg ticker/price series,In codebook but not in current raw handover panel.
bbg_GCFPDANO,deferred_source_feature,12_bloomberg_commodities_and_fertilizer_energy,12 Bloomberg commodities and fertilizer/energy,no,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"DAP, US Gulf / NOLA",Bloomberg ticker/price series,In codebook but not in current raw handover panel.
bbg_GCFPPOBA,deferred_source_feature,12_bloomberg_commodities_and_fertilizer_energy,12 Bloomberg commodities and fertilizer/energy,no,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Potash / MOP, Brazil",Bloomberg ticker/price series,In codebook but not in current raw handover panel.
bbg_GCFPURBS,deferred_source_feature,12_bloomberg_commodities_and_fertilizer_energy,12 Bloomberg commodities and fertilizer/energy,no,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Urea, Black Sea",Bloomberg ticker/price series,In codebook but not in current raw handover panel.
bbg_GCFPURGB,deferred_source_feature,12_bloomberg_commodities_and_fertilizer_energy,12 Bloomberg commodities and fertilizer/energy,no,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Urea, granular, Brazil / Brazil import price",Bloomberg ticker/price series,In codebook but not in current raw handover panel.
bbg_GCFPURMG,deferred_source_feature,12_bloomberg_commodities_and_fertilizer_energy,12 Bloomberg commodities and fertilizer/energy,no,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Urea, Middle East granular",Bloomberg ticker/price series,In codebook but not in current raw handover panel.
bbg_NGUSHHUB,deferred_source_feature,12_bloomberg_commodities_and_fertilizer_energy,12 Bloomberg commodities and fertilizer/energy,no,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,Henry Hub natural gas price,Bloomberg ticker/price series,In codebook but not in current raw handover panel.
bbg_TZTX2_Comdty,deferred_source_feature,12_bloomberg_commodities_and_fertilizer_energy,12 Bloomberg commodities and fertilizer/energy,no,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,Dutch Natural Gas price,Bloomberg ticker/price series,In codebook but not in current raw handover panel.
bbg_oilgas_CL1_COMB_Comdty_price,deferred_source_feature,12_bloomberg_commodities_and_fertilizer_energy,12 Bloomberg commodities and fertilizer/energy,no,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Crude oil front-month futures price, WTI CL1 generic contract",Bloomberg ticker/price series,In codebook but not in current raw handover panel.
bbg_oilgas_NG1_Comdty_price,deferred_source_feature,12_bloomberg_commodities_and_fertilizer_energy,12 Bloomberg commodities and fertilizer/energy,no,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Natural gas front-month futures price, NG1 generic contract",Bloomberg ticker/price series,In codebook but not in current raw handover panel.
bbg_soybean_oil_futures_bid,deferred_source_feature,12_bloomberg_commodities_and_fertilizer_energy,12 Bloomberg commodities and fertilizer/energy,no,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,Soybean oil futures,Bloomberg ticker/price series,In codebook but not in current raw handover panel.
bbg_soybean_oil_futures_last_price,deferred_source_feature,12_bloomberg_commodities_and_fertilizer_energy,12 Bloomberg commodities and fertilizer/energy,no,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,Soybean oil futures,Bloomberg ticker/price series,In codebook but not in current raw handover panel.
bbg_staple_food_corn_x1_price,deferred_source_feature,12_bloomberg_commodities_and_fertilizer_energy,12 Bloomberg commodities and fertilizer/energy,no,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,Front/generic contract price for corn,Bloomberg ticker/price series,In codebook but not in current raw handover panel.
bbg_staple_food_hard_wheat_x1_price,deferred_source_feature,12_bloomberg_commodities_and_fertilizer_energy,12 Bloomberg commodities and fertilizer/energy,no,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,Front/generic contract price for hard wheat,Bloomberg ticker/price series,In codebook but not in current raw handover panel.
bbg_staple_food_rough_rice_x1_price,deferred_source_feature,12_bloomberg_commodities_and_fertilizer_energy,12 Bloomberg commodities and fertilizer/energy,no,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,Front/generic contract price for rough rice,Bloomberg ticker/price series,In codebook but not in current raw handover panel.
bbg_staple_food_soft_wheat_x1_price,deferred_source_feature,12_bloomberg_commodities_and_fertilizer_energy,12 Bloomberg commodities and fertilizer/energy,no,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,Front/generic contract price for soft wheat,Bloomberg ticker/price series,In codebook but not in current raw handover panel.
bbg_staple_food_soybeans_x1_price,deferred_source_feature,12_bloomberg_commodities_and_fertilizer_energy,12 Bloomberg commodities and fertilizer/energy,no,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,Front/generic contract price for soybeans,Bloomberg ticker/price series,In codebook but not in current raw handover panel.
coastline_dist,fixed_slow_feature,coastline_distance,02 Geography and spatial linkage,no,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Distance to coastline source from World bank,,In codebook but not in current raw handover panel.
food_inflation_wb,monthly_dynamic_feature,11_food_prices_and_inflation,11 Food prices and inflation,no,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,World Bank food inflation rate,,In codebook but not in current raw handover panel.
food_price_index_WB,monthly_dynamic_feature,11_food_prices_and_inflation,11 Food prices and inflation,no,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,World Bank food price index,,In codebook but not in current raw handover panel.
inflation_food_price_index,monthly_dynamic_feature,11_food_prices_and_inflation,11 Food prices and inflation,no,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Food price inflation index, source from world bank",,In codebook but not in current raw handover panel.
nino34_anom,deferred_source_feature,99_other_review,99 Other / review,no,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,Nino 3. 4 sea-surface temperature anomaly,,In codebook but not in current raw handover panel.
wb_food_price_match_distance_km,identifier_or_static_geography,02_geography_and_spatial_linkage,02 Geography and spatial linkage,no,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,Distance used when matching World Bank food price series to location,,In codebook but not in current raw handover panel.
